Location,Area,Type of Land,Distance to City Center,Accessibility,Market Trends,Zoning Regulations,Development Plans,Land Shape,Land Contour,Utilities Availability,Land Ownership Type,Neighborhood Amenities,Crime Rate,Environmental Factors,Land History,Demographic Data,Economic Indicators,Infrastructure Development
Dharampeth,4771,Commercial,2.648125166959847,4.113756426193682,Upward,High Density,No,Irregular,Sloping,High,Freehold,Park,2.231885069177058,Low Risk,No Historical Significance,4586.5521092353765,Stable,No
Wardha Road,1720,Commercial,8.968071997913276,9.365753720558093,Upward,Medium Density,No,Irregular,Sloping,Low,Freehold,School,4.091828767339225,High Risk,No Historical Significance,8574.666763278306,Growing,Yes
Sadar,1037,Residential,1.3022968582642622,3.3632539303905737,Stable,Low Density,Yes,Irregular,Flat,Low,Freehold,School,3.919835527051987,High Risk,No Historical Significance,8080.575331514584,Growing,Yes
Gandhibagh,3050,Residential,11.02753110159464,7.756864550746531,Upward,Medium Density,No,Irregular,Sloping,High,Leasehold,Park,3.7037701388623576,High Risk,Historically Significant,6767.029543394361,Stable,No
Sitabuldi,4807,Agricultural,17.507227705948363,3.2940465625462343,Upward,Low Density,No,Rectangular,Flat,High,Leasehold,School,2.489512604192087,Low Risk,Historically Significant,5464.153507453469,Growing,No
Civil Lines,1419,Industrial,7.285945737644146,8.661651276593847,Downward,Low Density,No,Irregular,Flat,Medium,Leasehold,Shopping Center,4.734115953159268,Moderate Risk,No Historical Significance,5257.502275075509,Stable,No
Nandanvan,1872,Commercial,8.465903887545991,2.56647487682409,Stable,Medium Density,Yes,Rectangular,Sloping,High,Leasehold,Shopping Center,5.03308591752451,Moderate Risk,Historically Significant,5268.112196395869,Declining,Yes
Manish Nagar,3757,Commercial,13.81227803584014,8.116871604190434,Upward,Low Density,No,Rectangular,Sloping,High,Freehold,Park,7.974103382326154,High Risk,Historically Significant,9492.19484179236,Stable,No
Trimurti Nagar,3083,Industrial,13.774028191583431,9.438664020586945,Upward,Medium Density,No,Irregular,Sloping,High,Leasehold,Shopping Center,8.167516307042936,High Risk,Historically Significant,7640.193496297684,Declining,No
Nandanvan,4156,Residential,14.186599933015716,5.039432158400961,Upward,Medium Density,No,Irregular,Sloping,High,Leasehold,Park,5.701511152014507,Moderate Risk,No Historical Significance,1374.1570144224788,Declining,No
